,name,dim
512,transformer/decoder_layer_47/multi_head_attention/value/w,"[6144, 1024]"
513,transformer/decoder_layer_47/rms_norm/scale,[6144]
514,transformer/decoder_layer_47/rms_norm_1/scale,[6144]
515,transformer/decoder_layer_47/rms_norm_2/scale,[6144]
516,transformer/decoder_layer_47/rms_norm_3/scale,[6144]
517,transformer/decoder_layer_47/router/w,"[6144, 8]"
518,transformer/decoder_layer_48/moe/linear/w,"[8, 6144, 32768]"
519,transformer/decoder_layer_48/moe/linear_1/w,"[8, 32768, 6144]"
520,transformer/decoder_layer_48/moe/linear_v/w,"[8, 6144, 32768]"
521,transformer/decoder_layer_48/multi_head_attention/key/w,"[6144, 1024]"
522,transformer/decoder_layer_48/multi_head_attention/linear/w,"[6144, 6144]"
523,transformer/decoder_layer_48/multi_head_attention/query/w,"[6144, 6144]"
524,transformer/decoder_layer_48/multi_head_attention/value/w,"[6144, 1024]"
525,transformer/decoder_layer_48/rms_norm/scale,[6144]
526,transformer/decoder_layer_48/rms_norm_1/scale,[6144]
527,transformer/decoder_layer_48/rms_norm_2/scale,[6144]
528,transformer/decoder_layer_48/rms_norm_3/scale,[6144]
529,transformer/decoder_layer_48/router/w,"[6144, 8]"
530,transformer/decoder_layer_49/moe/linear/w,"[8, 6144, 32768]"
531,transformer/decoder_layer_49/moe/linear_1/w,"[8, 32768, 6144]"
532,transformer/decoder_layer_49/moe/linear_v/w,"[8, 6144, 32768]"
533,transformer/decoder_layer_49/multi_head_attention/key/w,"[6144, 1024]"
534,transformer/decoder_layer_49/multi_head_attention/linear/w,"[6144, 6144]"
535,transformer/decoder_layer_49/multi_head_attention/query/w,"[6144, 6144]"
536,transformer/decoder_layer_49/multi_head_attention/value/w,"[6144, 1024]"
537,transformer/decoder_layer_49/rms_norm/scale,[6144]
538,transformer/decoder_layer_49/rms_norm_1/scale,[6144]
539,transformer/decoder_layer_49/rms_norm_2/scale,[6144]
540,transformer/decoder_layer_49/rms_norm_3/scale,[6144]
541,transformer/decoder_layer_49/router/w,"[6144, 8]"
542,transformer/decoder_layer_5/moe/linear/w,"[8, 6144, 32768]"
543,transformer/decoder_layer_5/moe/linear_1/w,"[8, 32768, 6144]"
544,transformer/decoder_layer_5/moe/linear_v/w,"[8, 6144, 32768]"
545,transformer/decoder_layer_5/multi_head_attention/key/w,"[6144, 1024]"
546,transformer/decoder_layer_5/multi_head_attention/linear/w,"[6144, 6144]"
547,transformer/decoder_layer_5/multi_head_attention/query/w,"[6144, 6144]"
548,transformer/decoder_layer_5/multi_head_attention/value/w,"[6144, 1024]"
549,transformer/decoder_layer_5/rms_norm/scale,[6144]
550,transformer/decoder_layer_5/rms_norm_1/scale,[6144]
551,transformer/decoder_layer_5/rms_norm_2/scale,[6144]
552,transformer/decoder_layer_5/rms_norm_3/scale,[6144]
553,transformer/decoder_layer_5/router/w,"[6144, 8]"
554,transformer/decoder_layer_50/moe/linear/w,"[8, 6144, 32768]"
555,transformer/decoder_layer_50/moe/linear_1/w,"[8, 32768, 6144]"
556,transformer/decoder_layer_50/moe/linear_v/w,"[8, 6144, 32768]"
557,transformer/decoder_layer_50/multi_head_attention/key/w,"[6144, 1024]"
558,transformer/decoder_layer_50/multi_head_attention/linear/w,"[6144, 6144]"
559,transformer/decoder_layer_50/multi_head_attention/query/w,"[6144, 6144]"
560,transformer/decoder_layer_50/multi_head_attention/value/w,"[6144, 1024]"
561,transformer/decoder_layer_50/rms_norm/scale,[6144]
562,transformer/decoder_layer_50/rms_norm_1/scale,[6144]
563,transformer/decoder_layer_50/rms_norm_2/scale,[6144]
564,transformer/decoder_layer_50/rms_norm_3/scale,[6144]
565,transformer/decoder_layer_50/router/w,"[6144, 8]"
566,transformer/decoder_layer_51/moe/linear/w,"[8, 6144, 32768]"
567,transformer/decoder_layer_51/moe/linear_1/w,"[8, 32768, 6144]"
568,transformer/decoder_layer_51/moe/linear_v/w,"[8, 6144, 32768]"
569,transformer/decoder_layer_51/multi_head_attention/key/w,"[6144, 1024]"
570,transformer/decoder_layer_51/multi_head_attention/linear/w,"[6144, 6144]"
571,transformer/decoder_layer_51/multi_head_attention/query/w,"[6144, 6144]"
572,transformer/decoder_layer_51/multi_head_attention/value/w,"[6144, 1024]"
573,transformer/decoder_layer_51/rms_norm/scale,[6144]
574,transformer/decoder_layer_51/rms_norm_1/scale,[6144]
575,transformer/decoder_layer_51/rms_norm_2/scale,[6144]
576,transformer/decoder_layer_51/rms_norm_3/scale,[6144]
577,transformer/decoder_layer_51/router/w,"[6144, 8]"
578,transformer/decoder_layer_52/moe/linear/w,"[8, 6144, 32768]"
579,transformer/decoder_layer_52/moe/linear_1/w,"[8, 32768, 6144]"
580,transformer/decoder_layer_52/moe/linear_v/w,"[8, 6144, 32768]"
581,transformer/decoder_layer_52/multi_head_attention/key/w,"[6144, 1024]"
582,transformer/decoder_layer_52/multi_head_attention/linear/w,"[6144, 6144]"
583,transformer/decoder_layer_52/multi_head_attention/query/w,"[6144, 6144]"
584,transformer/decoder_layer_52/multi_head_attention/value/w,"[6144, 1024]"
585,transformer/decoder_layer_52/rms_norm/scale,[6144]
586,transformer/decoder_layer_52/rms_norm_1/scale,[6144]
587,transformer/decoder_layer_52/rms_norm_2/scale,[6144]
588,transformer/decoder_layer_52/rms_norm_3/scale,[6144]
589,transformer/decoder_layer_52/router/w,"[6144, 8]"
590,transformer/decoder_layer_53/moe/linear/w,"[8, 6144, 32768]"
591,transformer/decoder_layer_53/moe/linear_1/w,"[8, 32768, 6144]"
592,transformer/decoder_layer_53/moe/linear_v/w,"[8, 6144, 32768]"
593,transformer/decoder_layer_53/multi_head_attention/key/w,"[6144, 1024]"
594,transformer/decoder_layer_53/multi_head_attention/linear/w,"[6144, 6144]"
595,transformer/decoder_layer_53/multi_head_attention/query/w,"[6144, 6144]"
596,transformer/decoder_layer_53/multi_head_attention/value/w,"[6144, 1024]"
597,transformer/decoder_layer_53/rms_norm/scale,[6144]
598,transformer/decoder_layer_53/rms_norm_1/scale,[6144]
599,transformer/decoder_layer_53/rms_norm_2/scale,[6144]
600,transformer/decoder_layer_53/rms_norm_3/scale,[6144]
601,transformer/decoder_layer_53/router/w,"[6144, 8]"
602,transformer/decoder_layer_54/moe/linear/w,"[8, 6144, 32768]"
603,transformer/decoder_layer_54/moe/linear_1/w,"[8, 32768, 6144]"
604,transformer/decoder_layer_54/moe/linear_v/w,"[8, 6144, 32768]"
605,transformer/decoder_layer_54/multi_head_attention/key/w,"[6144, 1024]"
606,transformer/decoder_layer_54/multi_head_attention/linear/w,"[6144, 6144]"
607,transformer/decoder_layer_54/multi_head_attention/query/w,"[6144, 6144]"
608,transformer/decoder_layer_54/multi_head_attention/value/w,"[6144, 1024]"
609,transformer/decoder_layer_54/rms_norm/scale,[6144]
610,transformer/decoder_layer_54/rms_norm_1/scale,[6144]
611,transformer/decoder_layer_54/rms_norm_2/scale,[6144]
612,transformer/decoder_layer_54/rms_norm_3/scale,[6144]
613,transformer/decoder_layer_54/router/w,"[6144, 8]"
614,transformer/decoder_layer_55/moe/linear/w,"[8, 6144, 32768]"
615,transformer/decoder_layer_55/moe/linear_1/w,"[8, 32768, 6144]"
616,transformer/decoder_layer_55/moe/linear_v/w,"[8, 6144, 32768]"
617,transformer/decoder_layer_55/multi_head_attention/key/w,"[6144, 1024]"
618,transformer/decoder_layer_55/multi_head_attention/linear/w,"[6144, 6144]"
619,transformer/decoder_layer_55/multi_head_attention/query/w,"[6144, 6144]"
620,transformer/decoder_layer_55/multi_head_attention/value/w,"[6144, 1024]"
621,transformer/decoder_layer_55/rms_norm/scale,[6144]
622,transformer/decoder_layer_55/rms_norm_1/scale,[6144]
623,transformer/decoder_layer_55/rms_norm_2/scale,[6144]
624,transformer/decoder_layer_55/rms_norm_3/scale,[6144]
625,transformer/decoder_layer_55/router/w,"[6144, 8]"
626,transformer/decoder_layer_56/moe/linear/w,"[8, 6144, 32768]"
627,transformer/decoder_layer_56/moe/linear_1/w,"[8, 32768, 6144]"
628,transformer/decoder_layer_56/moe/linear_v/w,"[8, 6144, 32768]"
629,transformer/decoder_layer_56/multi_head_attention/key/w,"[6144, 1024]"
630,transformer/decoder_layer_56/multi_head_attention/linear/w,"[6144, 6144]"
631,transformer/decoder_layer_56/multi_head_attention/query/w,"[6144, 6144]"
632,transformer/decoder_layer_56/multi_head_attention/value/w,"[6144, 1024]"
633,transformer/decoder_layer_56/rms_norm/scale,[6144]
634,transformer/decoder_layer_56/rms_norm_1/scale,[6144]
635,transformer/decoder_layer_56/rms_norm_2/scale,[6144]
636,transformer/decoder_layer_56/rms_norm_3/scale,[6144]
637,transformer/decoder_layer_56/router/w,"[6144, 8]"
638,transformer/decoder_layer_57/moe/linear/w,"[8, 6144, 32768]"
639,transformer/decoder_layer_57/moe/linear_1/w,"[8, 32768, 6144]"
640,transformer/decoder_layer_57/moe/linear_v/w,"[8, 6144, 32768]"
641,transformer/decoder_layer_57/multi_head_attention/key/w,"[6144, 1024]"
642,transformer/decoder_layer_57/multi_head_attention/linear/w,"[6144, 6144]"
643,transformer/decoder_layer_57/multi_head_attention/query/w,"[6144, 6144]"
644,transformer/decoder_layer_57/multi_head_attention/value/w,"[6144, 1024]"
645,transformer/decoder_layer_57/rms_norm/scale,[6144]
646,transformer/decoder_layer_57/rms_norm_1/scale,[6144]
647,transformer/decoder_layer_57/rms_norm_2/scale,[6144]
648,transformer/decoder_layer_57/rms_norm_3/scale,[6144]
649,transformer/decoder_layer_57/router/w,"[6144, 8]"
650,transformer/decoder_layer_58/moe/linear/w,"[8, 6144, 32768]"
651,transformer/decoder_layer_58/moe/linear_1/w,"[8, 32768, 6144]"
652,transformer/decoder_layer_58/moe/linear_v/w,"[8, 6144, 32768]"
653,transformer/decoder_layer_58/multi_head_attention/key/w,"[6144, 1024]"
654,transformer/decoder_layer_58/multi_head_attention/linear/w,"[6144, 6144]"
655,transformer/decoder_layer_58/multi_head_attention/query/w,"[6144, 6144]"
656,transformer/decoder_layer_58/multi_head_attention/value/w,"[6144, 1024]"
657,transformer/decoder_layer_58/rms_norm/scale,[6144]
658,transformer/decoder_layer_58/rms_norm_1/scale,[6144]
659,transformer/decoder_layer_58/rms_norm_2/scale,[6144]
660,transformer/decoder_layer_58/rms_norm_3/scale,[6144]
661,transformer/decoder_layer_58/router/w,"[6144, 8]"
662,transformer/decoder_layer_59/moe/linear/w,"[8, 6144, 32768]"
663,transformer/decoder_layer_59/moe/linear_1/w,"[8, 32768, 6144]"
664,transformer/decoder_layer_59/moe/linear_v/w,"[8, 6144, 32768]"
665,transformer/decoder_layer_59/multi_head_attention/key/w,"[6144, 1024]"
666,transformer/decoder_layer_59/multi_head_attention/linear/w,"[6144, 6144]"
667,transformer/decoder_layer_59/multi_head_attention/query/w,"[6144, 6144]"
668,transformer/decoder_layer_59/multi_head_attention/value/w,"[6144, 1024]"
669,transformer/decoder_layer_59/rms_norm/scale,[6144]
670,transformer/decoder_layer_59/rms_norm_1/scale,[6144]
671,transformer/decoder_layer_59/rms_norm_2/scale,[6144]
672,transformer/decoder_layer_59/rms_norm_3/scale,[6144]
673,transformer/decoder_layer_59/router/w,"[6144, 8]"
674,transformer/decoder_layer_6/moe/linear/w,"[8, 6144, 32768]"
675,transformer/decoder_layer_6/moe/linear_1/w,"[8, 32768, 6144]"
676,transformer/decoder_layer_6/moe/linear_v/w,"[8, 6144, 32768]"
677,transformer/decoder_layer_6/multi_head_attention/key/w,"[6144, 1024]"
678,transformer/decoder_layer_6/multi_head_attention/linear/w,"[6144, 6144]"
679,transformer/decoder_layer_6/multi_head_attention/query/w,"[6144, 6144]"
680,transformer/decoder_layer_6/multi_head_attention/value/w,"[6144, 1024]"
681,transformer/decoder_layer_6/rms_norm/scale,[6144]
682,transformer/decoder_layer_6/rms_norm_1/scale,[6144]
683,transformer/decoder_layer_6/rms_norm_2/scale,[6144]
684,transformer/decoder_layer_6/rms_norm_3/scale,[6144]
685,transformer/decoder_layer_6/router/w,"[6144, 8]"
686,transformer/decoder_layer_60/moe/linear/w,"[8, 6144, 32768]"
687,transformer/decoder_layer_60/moe/linear_1/w,"[8, 32768, 6144]"
688,transformer/decoder_layer_60/moe/linear_v/w,"[8, 6144, 32768]"
689,transformer/decoder_layer_60/multi_head_attention/key/w,"[6144, 1024]"
690,transformer/decoder_layer_60/multi_head_attention/linear/w,"[6144, 6144]"
691,transformer/decoder_layer_60/multi_head_attention/query/w,"[6144, 6144]"
692,transformer/decoder_layer_60/multi_head_attention/value/w,"[6144, 1024]"
693,transformer/decoder_layer_60/rms_norm/scale,[6144]
694,transformer/decoder_layer_60/rms_norm_1/scale,[6144]
695,transformer/decoder_layer_60/rms_norm_2/scale,[6144]
696,transformer/decoder_layer_60/rms_norm_3/scale,[6144]
697,transformer/decoder_layer_60/router/w,"[6144, 8]"
698,transformer/decoder_layer_61/moe/linear/w,"[8, 6144, 32768]"
699,transformer/decoder_layer_61/moe/linear_1/w,"[8, 32768, 6144]"
700,transformer/decoder_layer_61/moe/linear_v/w,"[8, 6144, 32768]"
701,transformer/decoder_layer_61/multi_head_attention/key/w,"[6144, 1024]"
702,transformer/decoder_layer_61/multi_head_attention/linear/w,"[6144, 6144]"
703,transformer/decoder_layer_61/multi_head_attention/query/w,"[6144, 6144]"
704,transformer/decoder_layer_61/multi_head_attention/value/w,"[6144, 1024]"
705,transformer/decoder_layer_61/rms_norm/scale,[6144]
706,transformer/decoder_layer_61/rms_norm_1/scale,[6144]
707,transformer/decoder_layer_61/rms_norm_2/scale,[6144]
708,transformer/decoder_layer_61/rms_norm_3/scale,[6144]
709,transformer/decoder_layer_61/router/w,"[6144, 8]"
710,transformer/decoder_layer_62/moe/linear/w,"[8, 6144, 32768]"
711,transformer/decoder_layer_62/moe/linear_1/w,"[8, 32768, 6144]"
712,transformer/decoder_layer_62/moe/linear_v/w,"[8, 6144, 32768]"
713,transformer/decoder_layer_62/multi_head_attention/key/w,"[6144, 1024]"
714,transformer/decoder_layer_62/multi_head_attention/linear/w,"[6144, 6144]"
715,transformer/decoder_layer_62/multi_head_attention/query/w,"[6144, 6144]"
716,transformer/decoder_layer_62/multi_head_attention/value/w,"[6144, 1024]"
717,transformer/decoder_layer_62/rms_norm/scale,[6144]
718,transformer/decoder_layer_62/rms_norm_1/scale,[6144]
719,transformer/decoder_layer_62/rms_norm_2/scale,[6144]
720,transformer/decoder_layer_62/rms_norm_3/scale,[6144]
721,transformer/decoder_layer_62/router/w,"[6144, 8]"
722,transformer/decoder_layer_63/moe/linear/w,"[8, 6144, 32768]"
723,transformer/decoder_layer_63/moe/linear_1/w,"[8, 32768, 6144]"
724,transformer/decoder_layer_63/moe/linear_v/w,"[8, 6144, 32768]"
725,transformer/decoder_layer_63/multi_head_attention/key/w,"[6144, 1024]"
726,transformer/decoder_layer_63/multi_head_attention/linear/w,"[6144, 6144]"
727,transformer/decoder_layer_63/multi_head_attention/query/w,"[6144, 6144]"
728,transformer/decoder_layer_63/multi_head_attention/value/w,"[6144, 1024]"
729,transformer/decoder_layer_63/rms_norm/scale,[6144]
730,transformer/decoder_layer_63/rms_norm_1/scale,[6144]
731,transformer/decoder_layer_63/rms_norm_2/scale,[6144]
732,transformer/decoder_layer_63/rms_norm_3/scale,[6144]
733,transformer/decoder_layer_63/router/w,"[6144, 8]"
734,transformer/decoder_layer_7/moe/linear/w,"[8, 6144, 32768]"
735,transformer/decoder_layer_7/moe/linear_1/w,"[8, 32768, 6144]"
736,transformer/decoder_layer_7/moe/linear_v/w,"[8, 6144, 32768]"
737,transformer/decoder_layer_7/multi_head_attention/key/w,"[6144, 1024]"
738,transformer/decoder_layer_7/multi_head_attention/linear/w,"[6144, 6144]"
739,transformer/decoder_layer_7/multi_head_attention/query/w,"[6144, 6144]"
740,transformer/decoder_layer_7/multi_head_attention/value/w,"[6144, 1024]"
741,transformer/decoder_layer_7/rms_norm/scale,[6144]
742,transformer/decoder_layer_7/rms_norm_1/scale,[6144]
743,transformer/decoder_layer_7/rms_norm_2/scale,[6144]
744,transformer/decoder_layer_7/rms_norm_3/scale,[6144]
745,transformer/decoder_layer_7/router/w,"[6144, 8]"
746,transformer/decoder_layer_8/moe/linear/w,"[8, 6144, 32768]"
747,transformer/decoder_layer_8/moe/linear_1/w,"[8, 32768, 6144]"
748,transformer/decoder_layer_8/moe/linear_v/w,"[8, 6144, 32768]"
749,transformer/decoder_layer_8/multi_head_attention/key/w,"[6144, 1024]"
750,transformer/decoder_layer_8/multi_head_attention/linear/w,"[6144, 6144]"
751,transformer/decoder_layer_8/multi_head_attention/query/w,"[6144, 6144]"
752,transformer/decoder_layer_8/multi_head_attention/value/w,"[6144, 1024]"
753,transformer/decoder_layer_8/rms_norm/scale,[6144]
754,transformer/decoder_layer_8/rms_norm_1/scale,[6144]
755,transformer/decoder_layer_8/rms_norm_2/scale,[6144]
756,transformer/decoder_layer_8/rms_norm_3/scale,[6144]
757,transformer/decoder_layer_8/router/w,"[6144, 8]"
758,transformer/decoder_layer_9/moe/linear/w,"[8, 6144, 32768]"
759,transformer/decoder_layer_9/moe/linear_1/w,"[8, 32768, 6144]"
760,transformer/decoder_layer_9/moe/linear_v/w,"[8, 6144, 32768]"
761,transformer/decoder_layer_9/multi_head_attention/key/w,"[6144, 1024]"
762,transformer/decoder_layer_9/multi_head_attention/linear/w,"[6144, 6144]"
763,transformer/decoder_layer_9/multi_head_attention/query/w,"[6144, 6144]"
764,transformer/decoder_layer_9/multi_head_attention/value/w,"[6144, 1024]"
765,transformer/decoder_layer_9/rms_norm/scale,[6144]
766,transformer/decoder_layer_9/rms_norm_1/scale,[6144]
767,transformer/decoder_layer_9/rms_norm_2/scale,[6144]
768,transformer/decoder_layer_9/rms_norm_3/scale,[6144]
769,transformer/decoder_layer_9/router/w,"[6144, 8]"
